iter	Passed	Remaining
188	11691	25424
189	11739	25332
190	11802	25273
191	11857	25196
192	11906	25108
193	11952	25013
194	12003	24930
195	12055	24849
196	12105	24764
197	12166	24702
198	12223	24631
199	12279	24558
200	12334	24484
201	12396	24424
202	12447	24343
203	12507	24279
204	12562	24206
205	12620	24138
206	12682	24077
207	12748	24026
208	12799	23945
209	12855	23875
210	12914	23809
211	12974	23745
212	13026	23667
213	13083	23599
214	13137	23525
215	13201	23468
216	13266	23414
217	13327	23353
218	13384	23284
219	13442	23219
220	13501	23153
221	13558	23086
222	13616	23020
223	13669	22945
224	13726	22877
225	13787	22816
226	13851	22760
227	13910	22695
228	13967	22628
229	14033	22575
230	14102	22526
231	14168	22473
232	14229	22413
233	14286	22345
234	14343	22278
235	14409	22225
236	14470	22163
237	14530	22100
238	14585	22030
239	14653	21980
240	14717	21924
241	14774	21855
242	14826	21781
243	14891	21726
244	14960	21677
245	15020	21614
246	15077	21547
247	15138	21486
248	15192	21416
249	15258	21362
250	15313	21292
251	15366	21220
252	15427	21159
253	15491	21102
254	15547	21034
255	15610	20976
256	15673	20917
257	15732	20854
258	15807	20812
259	15875	20760
260	15930	20691
261	15990	20629
262	16050	20566
263	16108	20501
264	16166	20437
265	16220	20367
266	16284	20309
267	16348	20252
268	16400	20180
269	16461	20119
270	16514	20049
271	16573	19985
272	16633	19923
273	16689	19856
274	16746	19790
275	16818	19743
276	16877	19680
277	16946	19628
278	17010	19571
279	17070	19508
280	17123	19439
281	17183	19376
282	17247	19320
283	17308	19258
284	17357	19184
285	17412	19117
286	17466	19048
287	17526	18987
288	17578	18916
289	17642	18859
290	17698	18793
291	17752	18725
292	17812	18663
293	17876	18606
294	17936	18544
295	18003	18489
296	18057	18422
297	18116	18359
298	18177	18298
299	18238	18238
300	18303	18181
301	18365	18122
302	18434	18069
303	18492	18005
304	18547	17939
305	18619	17889
306	18678	17826
307	18734	17761
308	18794	17699
309	18850	17634
310	18906	17568
311	18969	17510
312	19015	17436
313	19080	17378
314	19147	17323
315	19201	17257
316	19255	17189
317	19317	17130
318	19375	17067
319	19438	17008
320	19503	16951
321	19561	16888
322	19614	16821
323	19674	16760
324	19737	16701
325	19792	16635
326	19843	16566
327	19904	16505
328	19961	16442
329	20012	16373
330	20065	16306
331	20125	16246
332	20185	16184
333	20237	16117
334	20288	16049
335	20348	15987
336	20408	15927
337	20463	15862
338	20526	15803
339	20583	15740
340	20648	15683
341	20717	15629
342	20766	15560
343	20821	15495
344	20874	15429
345	20929	15364
346	20990	15304
347	21045	15239
348	21112	15183
349	21171	15122
350	21235	15064
351	21284	14995
352	21339	14931
353	21391	14864
354	21453	14805
355	21515	14746
356	21576	14686
357	21635	14624
358	21693	14562
359	21763	14508
360	21828	14451
361	21887	14390
362	21947	14329
363	22011	14270
364	22080	14215
365	22148	14160
366	22201	14095
367	22257	14031
368	22308	13965
369	22371	13906
370	22427	13843
371	22492	13785
372	22549	13723
373	22605	13659
374	22659	13595
375	22719	13534
376	22781	13475
377	22843	13416
378	22905	13356
379	22969	13298
380	23027	13236
381	23087	13175
382	23143	13112
383	23200	13050
384	23259	12989
385	23311	12923
386	23360	12857
387	23415	12793
388	23478	12735
389	23532	12671
390	23592	12610
391	23648	12548
392	23705	12485
393	23761	12423
394	23815	12359
395	23872	12297
396	23932	12237
397	23996	12179
398	24055	12118
399	24113	12056
400	24180	11999
401	24248	11943
402	24318	11887
403	24377	11826
404	24432	11764
405	24489	11701
406	24549	11641
407	24599	11576
408	24662	11517
409	24716	11453
410	24774	11392
411	24831	11330
412	24889	11269
413	24935	11202
414	24996	11142
415	25057	11083
416	25112	11020
417	25170	10959
418	25234	10900
419	25298	10842
420	25343	10775
421	25400	10713
422	25456	10652
423	25511	10589
424	25567	10527
425	25627	10467
426	25682	10405
427	25734	10342
428	25781	10276
429	25846	10218
430	25907	10158
431	25960	10095
432	26024	10037
433	26075	9973
434	26146	9917
435	26207	9857
436	26262	9795
437	26317	9733
438	26373	9672
439	26430	9611
440	26487	9549
441	26549	9490
442	26604	9428
443	26667	9369
444	26718	9306
445	26778	9246
446	26840	9186
447	26901	9127
448	26966	9068
449	27032	9010
450	27088	8949
451	27142	8887
452	27201	8826
453	27268	8769
454	27333	8710
455	27396	8651
456	27447	8588
457	27505	8527
458	27559	8465
459	27617	8405
460	27673	8343
461	27727	8282
462	27780	8220
463	27835	8158
464	27892	8097
465	27947	8036
466	28010	7977
467	28072	7917
468	28123	7855
469	28181	7794
470	28227	7731
471	28290	7672
472	28349	7611
473	28412	7552
474	28471	7492
475	28524	7430
476	28581	7370
477	28640	7309
478	28702	7250
479	28757	7189
480	28812	7128
481	28871	7068
482	28918	7005
483	28979	6945
484	29033	6884
485	29090	6823
486	29143	6762
487	29200	6701
488	29258	6641
489	29317	6581
490	29377	6521
491	29437	6461
492	29490	6400
493	29551	6341
494	29598	6278
495	29655	6218
496	29712	6157
497	29781	6099
498	29840	6039
499	29902	5980
500	29960	5920
501	30026	5861
502	30082	5801
503	30131	5739
504	30184	5678
505	30234	5616
506	30289	5556
507	30347	5496
508	30395	5434
509	30458	5375
510	30519	5315
511	30571	5254
512	30629	5194
513	30684	5133
514	30739	5073
515	30804	5014
516	30860	4954
517	30914	4893
518	30972	4833
519	31029	4773
520	31088	4714
521	31142	4653
522	31206	4594
523	31267	4534
524	31324	4474
525	31377	4414
526	31432	4354
527	31490	4294
528	31549	4234
529	31607	4174
530	31668	4115
531	31729	4055
532	31781	3995
533	31843	3935
534	31906	3876
535	31960	3816
536	32012	3755
537	32058	3694
538	32111	3634
539	32178	3575
540	32245	3516
541	32300	3456
542	32358	3396
543	32416	3336
544	32464	3276
545	32525	3216
546	32585	3157
547	32645	3097
548	32710	3038
549	32763	2978
550	32824	2919
551	32879	2859
552	32933	2799
553	32993	2739
554	33051	2679
555	33110	2620
556	33166	2560
557	33250	2502
558	33309	2443
559	33363	2383
560	33414	2322
561	33471	2263
562	33527	2203
563	33576	2143
564	33633	2083
565	33689	2023
566	33751	1964
567	33812	1904
568	33871	1845
569	33926	1785
570	33988	1726
571	34040	1666
572	34098	1606
573	34155	1547
574	34212	1487
575	34276	1428
576	34329	1368
577	34387	1308
578	34449	1249
579	34507	1189
580	34569	1130
581	34626	1070
582	34691	1011
583	34750	952
584	34806	892
585	34866	832
586	34921	773
587	34983	713
588	35048	654
589	35103	594
590	35164	535
591	35218	475
592	35271	416
593	35330	356
594	35386	297
595	35437	237
596	35481	178
597	35540	118
598	35599	59
599	35655	0
