iter	RMSE
136	1.267130995
137	1.265100637
138	1.263030554
139	1.261655646
140	1.260061116
141	1.257825769
142	1.255747069
143	1.253742643
144	1.251869878
145	1.249804473
146	1.248233908
147	1.246813827
148	1.245446831
149	1.243435957
150	1.241471603
151	1.239873031
152	1.238572492
153	1.236722272
154	1.234784196
155	1.233063403
156	1.23137033
157	1.229856757
158	1.228090754
159	1.226545263
160	1.224642925
161	1.223086847
162	1.22161678
163	1.219936646
164	1.218147598
165	1.216967362
166	1.215440833
167	1.213860572
168	1.212098917
169	1.210436933
170	1.208842099
171	1.207320576
172	1.205742666
173	1.203999462
174	1.202381964
175	1.200926405
176	1.199841297
177	1.198220289
178	1.197213404
179	1.195716589
180	1.194182455
181	1.192324205
182	1.19080732
183	1.189254837
184	1.188033409
185	1.186980246
186	1.185125144
187	1.183929053
188	1.18246061
189	1.180703291
190	1.179171806
191	1.17794783
192	1.176834553
193	1.17550126
194	1.174178608
195	1.172848702
196	1.171568411
197	1.17035325
198	1.169316743
199	1.168031972
200	1.166691558
201	1.165621055
202	1.164693579
203	1.163731933
204	1.162460836
205	1.161476287
206	1.160275146
207	1.159061793
208	1.158100561
209	1.156423728
210	1.154957337
211	1.153812703
212	1.152691673
213	1.151640064
214	1.150235159
215	1.148908236
216	1.147793601
217	1.146544046
218	1.145501712
219	1.144650872
220	1.143485261
221	1.142791932
222	1.141880648
223	1.140976598
224	1.139977646
225	1.138952088
226	1.137985142
227	1.136903429
228	1.136177186
229	1.135337667
230	1.134233618
231	1.13282401
232	1.131694595
233	1.130798304
234	1.129714157
235	1.128544396
236	1.127158944
237	1.126204432
238	1.125232263
239	1.124292759
240	1.123437826
241	1.122517721
242	1.12146063
243	1.120629489
244	1.119646812
245	1.118721723
246	1.117759642
247	1.116780121
248	1.115846375
249	1.114759848
250	1.113737555
251	1.112769612
252	1.111794427
253	1.111092745
254	1.110285111
255	1.10950731
256	1.108803801
257	1.107526891
258	1.10664288
259	1.105638348
260	1.104909941
261	1.104125755
262	1.103340347
263	1.102432752
264	1.101596763
265	1.100310212
266	1.099158949
267	1.098137393
268	1.097071983
269	1.095998095
270	1.095709739
271	1.09494082
272	1.094165617
273	1.09353166
274	1.092944395
275	1.091991131
276	1.090840808
277	1.089978484
278	1.089086021
279	1.087890405
280	1.087135462
281	1.086457101
282	1.085736935
283	1.084870417
284	1.083722652
285	1.082997513
286	1.082207685
287	1.08152993
288	1.080940797
289	1.080123118
290	1.079315022
291	1.078690466
292	1.07788717
293	1.077102825
294	1.076352857
295	1.075520364
296	1.074748755
297	1.074132643
298	1.073378824
299	1.072694917
300	1.07188049
301	1.071070303
302	1.070121879
303	1.069489482
304	1.069181606
305	1.068216078
306	1.067886344
307	1.067383133
308	1.066676115
309	1.066085151
310	1.065331589
311	1.064646015
312	1.06411166
313	1.06344226
314	1.062788592
315	1.062249526
316	1.061988647
317	1.061328999
318	1.060723837
319	1.060092484
320	1.059370547
321	1.058750672
322	1.058081248
323	1.057363785
324	1.056778364
325	1.055984985
326	1.055640961
327	1.054581051
328	1.053964473
329	1.053136868
330	1.05263962
331	1.051874944
332	1.0512224
333	1.050208857
334	1.04983181
335	1.049251865
336	1.048726874
337	1.047991654
338	1.047302542
339	1.046696894
340	1.046141593
341	1.0453814
342	1.045093419
343	1.044493066
344	1.043752404
345	1.043133443
346	1.042480825
347	1.042113481
348	1.041296534
349	1.040959514
350	1.04044099
351	1.040175156
352	1.039499287
353	1.038804724
354	1.038235814
355	1.037730045
356	1.037046185
357	1.0365852
358	1.036218834
359	1.035318828
360	1.034743051
361	1.033972334
362	1.033334675
363	1.03280054
364	1.032152215
365	1.031358454
366	1.030887013
367	1.030419819
368	1.029926556
369	1.02931459
370	1.02869509
371	1.027884822
372	1.027186504
373	1.026708813
374	1.026336172
375	1.025590131
376	1.024882247
377	1.024239552
378	1.023390341
379	1.022555827
380	1.022033201
381	1.021443074
382	1.020972116
383	1.020292983
384	1.019741573
385	1.019163828
386	1.018618666
387	1.018107633
388	1.017438078
389	1.016912705
390	1.016401783
391	1.015988811
392	1.015376335
393	1.014956378
394	1.014227991
395	1.013600148
396	1.013191499
397	1.01254548
398	1.011869105
399	1.011214426
400	1.010872908
401	1.010097386
402	1.009439753
403	1.008581483
404	1.007959415
405	1.007442456
406	1.006813052
407	1.00648712
408	1.005859109
409	1.005326439
410	1.004693398
411	1.004296576
412	1.003682877
413	1.003291035
414	1.002764201
415	1.002293723
416	1.001939821
417	1.001296256
418	1.000622585
419	1.000028114
420	0.9997433594
421	0.9991438286
422	0.998662244
423	0.998121553
424	0.9976492449
425	0.9972281727
426	0.9967715956
427	0.9962032442
428	0.9957676495
429	0.9951027149
430	0.9945708577
431	0.994095487
432	0.9933761068
433	0.9927970981
434	0.992250626
435	0.9915761945
436	0.9909165922
437	0.9904908245
438	0.989871263
439	0.9893360446
440	0.988742123
441	0.9881355243
442	0.9875782269
443	0.9869013995
444	0.9865284076
445	0.9860773575
446	0.9854266865
447	0.9849008925
448	0.984375808
449	0.9837351354
450	0.983386595
451	0.9826644843
452	0.9822448072
453	0.9814466935
454	0.9808258322
455	0.9801603671
456	0.9794851823
457	0.9790512571
458	0.9786713729
459	0.9781321844
460	0.9776617215
461	0.9772031029
462	0.9768831633
463	0.9765371297
464	0.9761610957
465	0.9756196893
466	0.974964647
467	0.9744843481
468	0.9742087583
469	0.9739089473
470	0.9735699866
471	0.9729509368
472	0.9723460908
473	0.9716958047
474	0.9712579025
475	0.9708314846
476	0.9704504248
477	0.9699221452
478	0.9693907038
479	0.9690088174
480	0.9687443242
481	0.9680896695
482	0.9676530332
483	0.9672242645
484	0.9666471041
485	0.9662068317
486	0.9658250718
487	0.9654429406
488	0.9650606934
489	0.9646074178
490	0.964125921
491	0.9635829716
492	0.9631905054
493	0.9626403898
494	0.9623542393
495	0.9620283178
496	0.9615657921
497	0.9610254874
498	0.9607646896
499	0.9601764184
500	0.9597027929
501	0.9592431486
502	0.9588522512
503	0.9585935284
504	0.95815279
505	0.9577916645
506	0.9574013958
507	0.9569988315
508	0.9566405461
509	0.9560782798
510	0.9555302402
511	0.9551575388
512	0.9547646036
513	0.9543460991
514	0.9540261864
515	0.9535136502
516	0.9530159594
517	0.9526924105
518	0.9523039854
519	0.9518653024
520	0.9514282035
521	0.9510946937
522	0.9506630613
523	0.9502552523
524	0.9498456977
525	0.9495903199
526	0.9491483608
527	0.9485104415
528	0.9480481509
529	0.9475364522
530	0.9470598354
531	0.9466285545
532	0.9462639254
533	0.9458414002
534	0.9453711509
535	0.9451135182
536	0.9448095158
537	0.9445920936
538	0.9443417004
539	0.9437664052
540	0.9433244962
541	0.9429518116
542	0.9424826475
543	0.9420989099
544	0.9418694478
545	0.9414806181
546	0.9411338299
547	0.9407373482
548	0.9403356201
549	0.9400298232
550	0.9394728416
551	0.9391690372
552	0.9387980067
553	0.93842453
554	0.9380303576
555	0.937626189
556	0.9372794091
557	0.9370126782
558	0.936526568
559	0.9361298089
560	0.9357844769
561	0.9352394809
562	0.9347818556
563	0.9342513485
564	0.9339402038
565	0.9336413227
566	0.933270327
567	0.9329027961
568	0.9325991765
569	0.9323429301
570	0.931884308
571	0.9315849251
572	0.93112112
573	0.9307427084
574	0.9303515502
575	0.9298630367
576	0.9295819858
577	0.9293128024
578	0.9290145882
579	0.928798791
580	0.9283697244
581	0.928065199
582	0.9276647185
583	0.9273326166
584	0.9269728378
585	0.926679357
586	0.9262796889
587	0.9259223409
588	0.9255720814
589	0.9253050916
590	0.9248687547
591	0.9245796944
592	0.9242386879
593	0.9239128604
594	0.9235059813
595	0.9229535185
596	0.9227721532
597	0.9224573999
598	0.9221109101
599	0.9217487973
